id,name,start_date,end_date,party,partyLabel,constituency,constituencyLabel,election
Q1773015,Freddy de Ruiter,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q3434757,Ingebjørg Godskesen,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q4572925,Svein Harberg,2009-10-01,,Q586364,Høyre,,,Q132055
Q4573115,Kjell Ingolf Ropstad,2009-10-01,,Q1166025,Kristelig Folkeparti,,,Q132055
Q1772865,Åse Michaelsen,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q3420281,Kari Henriksen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q1771760,Peter Skovholt Gitmark,2009-10-01,,Q586364,Høyre,,,Q132055
Q1771757,Dagrun Eriksen,2009-10-01,,Q1166025,Kristelig Folkeparti,,,Q132055
Q1773022,Henning Skumsvoll,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q3434791,Alf Egil Holmelid,2009-10-01,,Q488418,Sosialistisk Venstreparti,,,Q132055
Q156540,Anniken Huitfeldt,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q1771184,Morten Høglund,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q156553,Jan Tore Sanner,2009-10-01,,Q586364,Høyre,,,Q132055
Q1772869,Sverre Myrli,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q1773029,Kari Kjønaas Kjos,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q1771052,Sonja Irene Sjøli,2009-10-01,,Q586364,Høyre,,,Q132055
Q156550,Marianne Aasen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q1772903,Hans Frode Asmyhr,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q1772874,Gunvor Eldegard,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q1798291,Sylvi Graham,2009-10-01,,Q586364,Høyre,,,Q132055
Q1019331,Bård Vegar Solhjell,2009-10-01,,Q488418,Sosialistisk Venstreparti,,,Q132055
Q4566359,Gorm Kjernli,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q1773035,Borghild Tenden,2009-10-01,,Q500190,Venstre,,,Q132055
Q5983558,Ib Thomsen,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q2044640,André Oktay Dahl,2009-10-01,,Q586364,Høyre,,,Q132055
Q1350399,Knut Arild Hareide,2009-10-01,,Q1166025,Kristelig Folkeparti,,,Q132055
Q6513908,Martin Kolberg,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q6514199,Ulf Erik Knudsen,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q6981465,Trond Helleland,2009-10-01,,Q586364,Høyre,,,Q132055
Q4560207,Lise Christoffersen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q6321658,Jørund Rytman,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q1772947,Torgeir Micaelsen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q4568801,Anders B. Werp,2009-10-01,,Q586364,Høyre,,,Q132055
Q4571572,Laila Gustavsen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q1772873,Per Olaf Lundteigen,2009-10-01,,Q493685,Senterpartiet,,,Q132055
Q156517,Helga Pedersen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q1773269,Jan-Henrik Fredriksen,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q3367196,Kåre Simensen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q1799837,Ingalill Olsen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q1799849,Frank Bakke-Jensen,2009-10-01,,Q586364,Høyre,,,Q132055
Q1343717,Knut Storberget,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q4761757,Anette Trettebergstuen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q6515122,Per Roar Bredvold,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q4589982,Thomas Breen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q548001,Trygve Slagsvold Vedum,2009-10-01,,Q493685,Senterpartiet,,,Q132055
Q5619018,Gunnar Gundersen,2009-10-01,,Q586364,Høyre,,,Q132055
